respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.20246591256118987,0.39004666221322215
26708,0.05110581118241905,0.09381754014856127
26709,0.2657415217738935,0.650443984177903
26710,0.45686977170029286,0.829234693065618
26711,0.26570656188427133,0.4636464829469354
26712,0.695355693036246,0.9372734518511735
26713,0.2390756240444117,0.502676326442199
26714,0.31159443139145576,0.4688867972803007
26715,0.02800419373448986,0.2251514111236668
26716,0.3534130558466971,0.8891037697119439
26717,0.010330275939640596,0.29719909330867733
26718,0.3663563407506615,0.5699308397975187
26719,0.14071609815547084,0.9174833788516618
26720,0.04364128509209837,0.14876620734372867
26721,0.3153841084793591,0.42211589053400556
26722,0.09257262077056966,0.11383106554914713
26723,0.7976731482047473,0.8615938666150406
26724,0.020717659481686315,0.4109308563679215
26725,0.0062793213743728375,0.0432285467554236
26726,0.024856144325579123,0.08444639038671069
26727,0.34394204931069083,0.7683347594026969
26728,0.4464108801400789,0.6902816473859882
26729,0.053626332521885235,0.35485268292274447
26730,0.03869250178644535,0.30178711421527926
26731,0.04776115427368706,0.3721260557884258
26732,0.2631829051633651,0.20407344535191108
26733,0.8909817434938171,0.9203134005739296
26734,0.8414219650341325,0.23665905997998163
26735,0.22441003824240305,0.6645799548854561
26736,0.16247381940999575,0.25515101000867474
26737,0.17051267807338277,0.26493593249440917
26738,0.6320231174775894,0.7772082607040256
26739,0.22382908232493365,0.3366057142072223
26740,0.20605904552169277,0.17872226204165095
26741,0.08196755872730717,0.881776104985226
26742,0.256197428089104,0.5984496654380689
26743,0.1732841237849472,0.6938817694845293
26744,0.04378975029324404,0.6295883996878283
26745,0.04561052170676337,0.8826847927260613
26746,0.007006267914342226,0.0751059961804338
26747,0.06132107913088814,0.34800645545128167
26748,0.04373743502754057,0.05904705262381502
26749,0.1128694401275215,0.688228921465317
26750,0.4481215688267868,0.8664566862274754
26751,0.5446325952888205,0.7732767788700519
26752,0.06777964379255164,0.06403079668122352
26753,0.4165590907285745,0.7347637120881434
26754,0.16428683732456537,0.5502068311853576
26755,0.21805634101235427,0.4530838901591048
26756,0.056506673953582734,0.08811485446416509
26757,0.23196324278568933,0.3947123569010257
26758,0.41720343122357256,0.8288560429018264
26759,0.017104921160094395,0.1888493993498146
26760,0.0316399361701541,0.14874088121285747
26761,0.19333661147871495,0.5356691904631048
26762,0.2763944463221333,0.8365400768905289
26763,0.9067365848524302,0.9707069658098207
26764,0.9438764101831887,0.9529120675377979
26765,0.0518682547780957,0.8175696016444229
26766,0.24910358222755724,0.23453407427991546
26767,0.8191436381110768,0.7048274713821638
26768,0.00826447290518282,0.34180343537836855
26769,0.06696747415495344,0.12508332629518126
26770,0.04605952491557368,0.5586087998328297
26771,0.016157483345285134,0.13849365718001294
26772,0.15980680187267426,0.5110448334355937
26773,0.033242707274822966,0.5214357963215392
26774,0.030443775538963696,0.6218539416030064
26775,0.07277995198903027,0.565528837527999
26776,0.25200943025581113,0.1587906772546681
26777,0.22717804948580328,0.9271819995463535
26778,0.1084147870956926,0.15647161914433813
26779,0.17978838259051858,0.522450142719525
26780,0.06368221374655597,0.9314408400923713
26781,0.05568281992597788,0.5547384438760721
26782,0.09826658238694999,0.44378855275227574
26783,0.03144075547813298,0.3418012594566416
26784,0.06744511372686164,0.7181682648064367
26785,0.018192190145504362,0.10562954301564578
26786,0.07522068357983991,0.3502501051747566
26787,0.09223950305842775,0.554215722254118
26788,0.03967302922931914,0.8647407001466617
26789,0.054838349408608614,0.42630917225720943
26790,0.030033814577424326,0.31731009265490573
26791,0.05687705353187499,0.13002733328320543
26792,0.13424884118925626,0.7574523428257586
26793,0.15067795194098318,0.8902331360531814
26794,0.5250458193772002,0.7895411019216599
26795,0.134230399393362,0.9627945916956315
26796,0.08957554977733019,0.1114288882332503
26797,0.1937287053668222,0.6867032515279274
26798,0.1751668832674115,0.13694959068641743
26799,0.25602079016505563,0.024979652192790316
26800,0.08158795670727556,0.9286544274645273
26801,0.23661641439817263,0.41328278914736083
26802,0.20684007901400203,0.32811778860218743
26803,0.05462114896146468,0.24139238069619715
26804,0.04291342554236436,0.11449347735427792
26805,0.09260730139473011,0.3386746514509098
26806,0.03821745671464838,0.8730784133987955
26807,0.3747086134738755,0.8743155564286025
26808,0.06424929695035136,0.4574426568697058
26809,0.5070242406756635,0.09776328834529044
26810,0.050450965220848604,0.16421377216801605
26811,0.0361196917943002,0.0742451384913143
26812,0.20603996805780062,0.7161416626153064
26813,0.4376142213697719,0.3224378152855602
26814,0.02914229781745298,0.5151883628345113
26815,0.028044696097232293,0.1446864831049658
26816,0.03539558668612524,0.2238299749796081
26817,0.027431059577394785,0.5128398659738024
26818,0.1656658348857416,0.35269070334795316
26819,0.1524715612896591,0.2827437776038287
26820,0.08057232329741161,0.370586031408836
26821,0.06685389598129837,0.4593938955781292
26822,0.07389547930059326,0.5032784216170461
26823,0.4832049982092186,0.4964446059082769
26824,0.018700985954133005,0.6561766491034166
26825,0.409872114137514,0.7306613992574696
26826,0.05662937979918466,0.708132284782024
26827,0.05353631127468734,0.16313154633985674
26828,0.039506783630114055,0.5071478828349784
26829,0.720097850381345,0.8908847933332739
26830,0.011895271046163326,0.4538194668972737
26831,0.1319949678451826,0.8045399664827878
26832,0.04288468470172675,0.7051717664419885
26833,0.024418159278084692,0.3828022238662369
26834,0.12456773477580577,0.5637074722532832
26835,0.20674362075516245,0.8500059353683002
26836,0.2216461095873937,0.6070318156210215
26837,0.17024445380409622,0.03850216080986813
26838,0.18991335322361577,0.5223564305368258
26839,0.020922586022060034,0.26176481540560587
26840,0.1320825740265519,0.13348461739866238
26841,0.4039555962318464,0.8920631901815619
26842,0.2002697729947021,0.3557714377280697
26843,0.02472028661175624,0.023366734054187346
26844,0.02318274882933633,0.45594235768388525
26845,0.019559379072868026,0.5438890131935172
26846,0.056808073595652965,0.7530653184886252
26847,0.4319105553667368,0.07731943710299889
26848,0.025958447152019632,0.6521482573939408
26849,0.4252367083758524,0.7254312127018419
26850,0.6108852942817463,0.682661244202174
26851,0.09896265496451344,0.11237207552147505
26852,0.06036832432016864,0.1250509116632311
26853,0.406066622819291,0.591044506063917
26854,0.011418325363321541,0.07596598470496775
26855,0.5132315647170429,0.8817619617412576
26856,0.07253044064412999,0.04950776365662361
26857,0.5424429872586006,0.22988274772297546
26858,0.09699427519031034,0.5886914432255952
26859,0.037853344146470784,0.1197755524926956
26860,0.20732069279317453,0.18991776912016542
26861,0.039235635178764175,0.14432989693267123
26862,0.038001720429805694,0.196760675411253
